10,25,14,1002,?,40,21,?,?,76,?,?,0
13,25,9,1002,?,40,21,?,?,76,?,?,0
9,21,4,1014,?,43,17,?,?,63,?,0,1
11,30,9,1019,?,44,19,?,?,67,0,0,2
11,38,10,1019,?,41,19,?,?,67,0,0,2
12,38,6,1014,?,41,17,?,?,63,0,0,1
11,21,4,1028,?,31,15,?,?,96,?,1,2
10,17,22,1013,?,37,15,?,?,73,?,0,2
11,17,14,1013,?,40,15,?,?,73,?,0,2
10,25,14,1013,?,45,15,?,?,73,?,0,2
10,17,11,1013,?,41,15,?,?,73,?,0,2
8,25,5,1018,?,35,18,11,?,61,0,0,?
10,25,18,1018,?,33,18,11,?,61,0,0,?
8,25,12,1016,?,34,20,?,?,63,?,1,4
7,13,3,1017,?,16,17,?,?,76,?,0,2
7,13,7,1014,?,33,17,?,?,74,0,0,0
7,17,12,1014,?,40,18,?,?,63,0,3,?
9,13,10,1016,?,39,19,?,?,62,0,0,7
11,38,17,1016,?,40,19,?,?,44,0,2,?
10,21,8,1012,?,38,19,?,?,61,0,3,3
14,21,8,1017,?,34,18,12,5,67,0,1,13
11,68,22,1015,?,37,20,?,?,87,0,3,?
10,25,11,1017,?,36,18,?,5,64,0,4,7
9,21,18,1017,?,36,18,?,5,63,0,2,5
9,13,9,1016,?,38,18,?,?,58,0,1,1
5,13,7,1016,?,38,20,?,?,63,0,1,4
7,13,13,1016,?,38,20,?,?,63,0,1,4
5,34,3,1016,?,27,15,?,?,72,?,2,5
7,13,10,1017,?,33,20,?,?,56,0,1,4
9,25,11,1017,?,39,23,?,?,46,0,1,3
10,30,12,1017,?,35,19,?,?,64,?,0,3
10,38,11,1017,?,39,17,?,?,68,0,9,12
10,25,7,1015,?,34,19,?,?,69,?,4,9
9,30,?,1015,?,?,19,?,1,42,?,1,3
-,-,?,-,-,?,-,?,?,-,?,-,?
7,13,?,1016,?,?,19,?,1,43,?,0,3
9,25,?,1019,?,?,21,9,1,46,?,3,8
9,21,?,1020,?,?,21,5,0,35,?,2,8
14,42,?,1017,?,?,19,?,?,50,?,1,5
?,?,?,1018,0,?,16,?,?,63,?,1,?
10,17,13,1015,?,?,24,7,?,33,?,3,11
9,25,10,1014,?,?,23,?,?,39,0,2,3
10,21,12,1011,0,?,18,14,0,76,0,?,?
9,21,15,1014,?,?,23,?,?,39,?,2,3
11,34,21,1014,?,?,23,?,?,39,0,2,3
13,25,9,1018,?,?,21,?,?,32,?,2,5
9,21,8,?,?,?,18,?,?,57,?,2,6
11,25,35,1011,0,?,18,14,0,76,0,?,?
10,21,17,1015,?,?,20,?,?,53,0,1,4
7,17,6,1016,?,?,17,?,?,62,0,3,6
10,21,14,1027,?,?,20,?,?,52,?,3,5
10,25,17,1017,?,?,23,?,0,39,?,?,0
15,30,21,1015,?,?,20,?,?,53,0,1,4
9,17,20,1016,?,28,21,9,?,47,0,2,?
12,25,26,1016,?,?,21,9,?,47,0,2,?
20,53,28,1020,?,38,21,?,2,?,0,0,0
25,53,6,1012,?,46,11,?,2,?,0,?,0
?,46,2,1020,?,16,20,?,?,86,?,0,0
?,52,2,1021,?,15,20,?,?,88,?,0,1
8,21,7,?,?,24,17,?,0,?,0,?,?
3,9,1,812,0,22,5,0,0,72,0,2,?
9,25,8,1012,?,18,23,?,0,45,0,1,7
9,25,8,1025,?,24,24,?,0,41,0,4,5
5,9,1,1025,?,24,24,?,0,41,0,4,5
8,25,8,1015,?,28,23,7,0,35,0,3,?
4,9,1,812,0,32,5,0,0,72,0,2,?
10,25,6,1020,?,23,22,?,0,45,?,2,4
10,30,2,1012,?,21,23,?,0,45,0,1,7
9,25,5,1020,?,23,22,?,0,45,?,2,4
11,30,11,1012,?,21,23,?,0,45,0,1,7
13,42,6,1012,?,24,23,?,0,45,0,1,7
6,13,3,1016,?,24,19,?,0,49,0,3,7
6,25,1,1017,?,18,18,?,0,61,0,10,19
9,25,10,1012,?,19,23,?,?,45,?,1,7
?,54,2,1021,?,15,20,?,?,88,?,0,1
3,9,1,813,0,22,7,2,0,72,0,2,?
9,25,8,1012,?,18,25,?,0,40,0,1,7
13,42,6,1012,?,24,25,?,0,40,0,1,7
6,13,3,1016,?,24,20,?,0,47,0,3,6
11,21,15,1020,?,23,23,?,0,43,?,3,4
9,25,8,1025,?,24,26,?,0,32,0,9,12
5,13,1,1025,?,25,26,?,0,32,0,9,12
8,21,7,?,?,24,20,?,0,?,0,?,?
15,34,4,1015,?,26,21,?,0,46,0,0,3
8,25,8,1015,?,28,24,8,0,37,0,4,?
10,25,3,1013,?,30,21,?,0,66,0,2,14
6,21,1,813,0,28,7,2,0,72,0,2,?
6,13,0,813,0,20,7,2,0,72,0,2,?
7,21,10,1020,?,23,23,?,0,43,?,2,3
11,53,6,1015,?,20,23,9,?,40,?,1,9
10,25,5,1020,?,23,23,?,0,43,?,2,3
9,38,6,1012,?,22,26,?,0,37,0,3,8
10,30,2,1012,?,21,26,?,0,37,0,3,8
10,30,4,1020,?,24,23,?,0,43,?,2,3
8,25,7,1012,?,22,26,?,0,37,0,3,8
12,34,4,1012,?,26,26,?,0,37,0,3,8
9,25,3,1016,?,26,21,?,0,47,0,3,5
9,30,1,1017,?,19,20,?,0,60,0,11,17
10,21,6,1012,?,19,26,?,?,37,?,3,8
8,25,7,1016,?,?,27,10,?,34,?,6,11
12,38,6,1015,?,?,25,?,?,47,0,5,6
10,34,10,1012,0,?,23,14,0,55,0,?,?
13,38,8,1015,?,?,25,?,?,47,?,5,6
12,42,10,1015,?,?,25,?,?,47,0,5,6
10,30,6,1019,?,?,22,?,?,35,?,2,7
9,25,5,?,?,?,19,?,?,53,?,5,12
12,34,25,1012,0,?,23,14,0,55,0,?,?
11,34,10,1016,?,?,23,?,?,43,0,4,9
11,34,11,1017,?,?,23,?,?,44,0,6,10
10,34,6,1028,?,?,23,?,?,52,?,7,9
11,38,11,1018,?,?,27,?,0,34,?,?,?
14,42,12,1016,?,?,23,?,?,43,0,4,9
10,34,6,1017,?,28,23,12,?,51,0,2,?
12,25,26,1017,?,?,23,12,?,51,0,2,?
?,54,2,1021,?,16,20,?,?,88,?,0,2
?,51,2,1022,?,14,20,?,?,88,?,0,2
?,47,2,1022,?,15,20,?,?,87,?,0,3
8,25,7,1015,?,?,28,9,?,30,?,5,11
12,38,6,1015,?,?,25,?,?,42,0,6,8
10,34,10,1011,0,?,25,15,0,52,0,?,?
13,38,8,1015,?,?,25,?,?,42,?,6,8
12,42,10,1015,?,?,25,?,?,42,0,6,8
9,25,5,?,?,?,20,?,?,49,?,4,11
12,34,25,1011,0,?,25,15,0,52,0,?,?
11,34,10,1015,?,?,25,?,?,38,0,1,9
11,34,11,1016,?,?,24,?,?,42,0,5,8
10,34,6,1028,?,?,22,?,?,53,?,5,8
11,38,11,1017,?,?,28,?,0,32,?,?,?
14,42,12,1015,?,?,25,?,?,38,0,1,9
10,34,6,1016,?,28,25,11,?,41,0,5,?
12,25,26,1016,?,28,25,11,?,41,0,5,?
10,21,9,1012,?,38,27,?,?,38,0,3,3
7,13,10,1016,?,33,24,?,?,40,0,4,8
10,38,11,1016,?,39,25,?,?,41,0,4,11
12,42,16,1012,?,49,26,?,?,38,0,?,?
18,55,12,1016,?,38,25,?,?,29,0,2,?
6,13,5,1015,?,38,25,?,?,38,0,1,6
?,51,2,1023,?,16,22,?,?,78,?,2,5
